team,round_32,round_16,quarterfinal,semifinal,final,winner
Spain,0.9762,0.7334,0.5321,0.37,0.2532,0.1644
Argentina,0.9624,0.7073,0.4936,0.3337,0.215,0.1374
France,0.9412,0.6623,0.4412,0.2806,0.1782,0.1043
Brazil,0.9359,0.6236,0.3857,0.2286,0.1302,0.0727
England,0.9322,0.6055,0.3733,0.2215,0.1243,0.0654
Ecuador,0.9394,0.6138,0.3769,0.2227,0.1235,0.0642
Colombia,0.8988,0.579,0.3547,0.2064,0.1089,0.0566
Portugal,0.8889,0.5544,0.3307,0.1832,0.093,0.0425
Japan,0.9052,0.5412,0.3029,0.1589,0.0792,0.0371
Netherlands,0.8731,0.5146,0.2762,0.1424,0.0691,0.0304
Germany,0.888,0.4993,0.2586,0.1238,0.0533,0.0234
Mexico,0.9277,0.5097,0.261,0.1249,0.0538,0.0231
Croatia,0.8525,0.4643,0.2333,0.1078,0.0459,0.018
Uruguay,0.8658,0.472,0.2417,0.1134,0.0479,0.0178
Morocco,0.8341,0.4427,0.2195,0.0953,0.0422,0.0173
Switzerland,0.9247,0.4934,0.2399,0.106,0.0424,0.0172
Paraguay,0.7761,0.4175,0.2099,0.095,0.04,0.0156
Belgium,0.829,0.4319,0.2094,0.0956,0.0401,0.0155
Norway,0.7542,0.393,0.1902,0.0857,0.0345,0.0127
Turkey,0.6958,0.3473,0.1619,0.07,0.0287,0.0096
Canada,0.8974,0.4196,0.1821,0.0781,0.029,0.0094
Iran,0.7419,0.3551,0.1504,0.0592,0.0218,0.007
Senegal,0.6575,0.3007,0.1271,0.0479,0.0163,0.0056
Australia,0.6498,0.3089,0.1315,0.0515,0.0183,0.0052
South Korea,0.802,0.3463,0.1377,0.0514,0.0167,0.0046
United States,0.6065,0.2708,0.1079,0.0368,0.0119,0.0039
Algeria,0.6439,0.2712,0.1055,0.0372,0.0114,0.0032
Uzbekistan,0.5441,0.2346,0.0909,0.0319,0.0103,0.0029
Scotland,0.5436,0.2095,0.0768,0.0238,0.0068,0.0024
Austria,0.6167,0.256,0.0924,0.0296,0.0098,0.0019
Panama,0.5847,0.2314,0.0773,0.0266,0.0073,0.0015
New Zealand,0.5622,0.2068,0.0702,0.0199,0.0054,0.0009
Czech Republic,0.5967,0.1905,0.0548,0.0147,0.0029,0.0008
Jordan,0.447,0.1568,0.0504,0.0129,0.0029,0.0008
Egypt,0.5762,0.225,0.0773,0.0231,0.0063,0.0008
Ivory Coast,0.5544,0.201,0.0601,0.018,0.0036,0.0007
Sweden,0.4558,0.1535,0.0456,0.0108,0.0023,0.0006
Tunisia,0.4463,0.1485,0.0453,0.0134,0.0035,0.0006
DR Congo,0.3216,0.1001,0.0298,0.0071,0.002,0.0005
Iraq,0.3021,0.0938,0.0283,0.0069,0.0017,0.0004
Saudi Arabia,0.4145,0.1111,0.0273,0.0057,0.0012,0.0003
Haiti,0.3459,0.105,0.0279,0.0066,0.0014,0.0003
Bosnia and Herzegovina,0.5643,0.1447,0.0338,0.0074,0.0013,0.0003
Cape Verde,0.3536,0.0896,0.0212,0.0048,0.001,0.0002
Qatar,0.2718,0.0503,0.0086,0.0008,0.0001,0.0
Ghana,0.2822,0.0727,0.0178,0.0032,0.0006,0.0
South Africa,0.3514,0.0858,0.0176,0.0031,0.0005,0.0
Curaçao,0.2647,0.0545,0.0117,0.0021,0.0003,0.0
