team,winner_probability
Spain,0.1644
Argentina,0.1374
France,0.1043
Brazil,0.0727
England,0.0654
Ecuador,0.0642
Colombia,0.0566
Portugal,0.0425
Japan,0.0371
Netherlands,0.0304
Germany,0.0234
Mexico,0.0231
Croatia,0.018
Uruguay,0.0178
Morocco,0.0173
Switzerland,0.0172
Paraguay,0.0156
Belgium,0.0155
Norway,0.0127
Turkey,0.0096
Canada,0.0094
Iran,0.007
Senegal,0.0056
Australia,0.0052
South Korea,0.0046
United States,0.0039
Algeria,0.0032
Uzbekistan,0.0029
Scotland,0.0024
Austria,0.0019
Panama,0.0015
New Zealand,0.0009
Czech Republic,0.0008
Jordan,0.0008
Egypt,0.0008
Ivory Coast,0.0007
Sweden,0.0006
Tunisia,0.0006
DR Congo,0.0005
Iraq,0.0004
Saudi Arabia,0.0003
Haiti,0.0003
Bosnia and Herzegovina,0.0003
Cape Verde,0.0002
Qatar,0.0
Ghana,0.0
South Africa,0.0
Curaçao,0.0
